Category,Field,Value,Unit/Notes
Vehicle Identity,Registration,EA11 OSE,
Vehicle Identity,Make,MINI,
Vehicle Identity,Model,Cooper D Convertible,
Vehicle Identity,Year of Manufacture,2011,
Vehicle Identity,Body Type,Convertible,
Vehicle Identity,Colour,Black,
Vehicle Identity,Transmission,Manual 6-gear,
Vehicle Identity,Engine Capacity,1598,cc
Vehicle Identity,CO2 Emissions,105,g/km
Vehicle Identity,Seats,4,
Registration Status,Tax Status,Taxed,
Registration Status,Tax Due Date,2026-12-01,
Registration Status,MOT Status,Valid,
Registration Status,MOT Expiry,2026-09-29,
Registration Status,Last V5C Issued,2020-12-15,
Road Tax,Tax Band,B,101-110 g/km
Road Tax,Tax Regime,Pre-April 2017,Correct per gov.uk
Road Tax,Annual Rate,£20,per year
Road Tax,First Year,£20,
Road Tax,Six-Month Payment,£10.00,
Road Tax,Monthly Instalments,£20.00,total
MOT History,Total Tests,14,
MOT History,Total Passes,11,
MOT History,Total Failures,3,
MOT History,Current Mileage,100440,miles
MOT History,Latest Test Date,2025-09-30,PASSED
MOT History,MOT Expiry,2026-09-29,
MOT History,First Used Date,2011-04-20,
MOT History,Mileage Assessment,Below average,~6,725 mi/year vs UK avg 12,000
Premium Data,Finance Outstanding,NO,0 records
Premium Data,Stolen,NO,
Premium Data,Written Off,NO,
Premium Data,Plate Changes,None,
Premium Data,Previous Keepers,1,
Premium Data,Salvage Records,None,
Valuation,Private Sale Low,£2272,
Valuation,Private Sale Average,£2737,
Valuation,Private Sale High,£3212,
Valuation,Trade Low,£774,
Valuation,Trade Average,£1124,
Valuation,Trade High,£1513,
Valuation,Valuation Method,Mileage-adjusted,using actual miles per annum
Valuation,Miles Per Annum Used,6725,calculated from registration date
Valuation,Currency,GBP,
Valuation,Valuation Date,2026-03-30,
Valuation,Data Source,Brego,One Auto API
Vehicle Age & Risk,Vehicle Age,14.94,years
Vehicle Age & Risk,Risk Level,Low,no finance/stolen/write-off
Vehicle Age & Risk,Overall Condition,Good for age,below-average mileage
Vehicle Age & Risk,Purchase Verdict,Safe at right price,valuation £2,737 average
Data Sources,Source 1,DVLA VES,Vehicle Enquiry Service
Data Sources,Source 2,DVSA MOT History API,MOT records
Data Sources,Source 3,Experian AutoCheck v3,provenance data
Data Sources,Source 4,Brego Valuation,market valuation
Data Sources,Source 5,CarGuide Salvage,salvage check
